Date,Open,High,Low,Close,Adj Close,Volume,abbreviations,Name,Open,High,Low,Close,Adj Close,Volume,abbreviations,Name,Open,High,Low,Close,Adj Close,Volume,abbreviations,Name
2015-01-04,0.56,0.565,0.535,0.555,0.555,2779640,A2M,The a2 Milk Company,2.25,2.29,2.23,2.23,1.9375490000000002,2831060.0,AAD,Ardent Leisure Group,4.48,4.58,4.48,4.56,4.083322,967345.0,ABC,Adelaide Brighton
2015-01-05,0.5,0.5,0.495,0.5,0.5,797093,A2M,The a2 Milk Company,1.985,2.0,1.945,1.985,1.724679,3791803.0,AAD,Ardent Leisure Group,4.55,4.565,4.48,4.55,4.074367,707536.0,ABC,Adelaide Brighton
2015-01-06,0.47,0.475,0.46,0.475,0.475,206190,A2M,The a2 Milk Company,2.16,2.24,2.15,2.23,1.9375490000000002,1377857.0,AAD,Ardent Leisure Group,4.62,4.64,4.48,4.59,4.110187000000001,1573850.0,ABC,Adelaide Brighton
2015-01-07,0.645,0.67,0.645,0.665,0.665,1340058,A2M,The a2 Milk Company,2.16,2.19,2.12,2.18,1.9413509999999998,1799361.0,AAD,Ardent Leisure Group,4.26,4.4,4.26,4.4,3.9400480000000004,832015.0,ABC,Adelaide Brighton
2015-01-09,0.605,0.635,0.605,0.625,0.625,4963009,A2M,The a2 Milk Company,2.44,2.45,2.41,2.41,2.146172,1810678.0,AAD,Ardent Leisure Group,4.5,4.5,4.39,4.41,3.9490019999999997,1618238.0,ABC,Adelaide Brighton
2015-01-10,0.645,0.645,0.635,0.64,0.64,401530,A2M,The a2 Milk Company,2.7,2.78,2.7,2.74,2.4400470000000003,1638464.0,AAD,Ardent Leisure Group,4.36,4.44,4.36,4.42,4.031084,1310950.0,ABC,Adelaide Brighton
2015-01-11,0.72,0.735,0.72,0.73,0.73,4749679,A2M,The a2 Milk Company,2.8,2.8,2.77,2.78,2.475668,592306.0,AAD,Ardent Leisure Group,4.21,4.22,4.16,4.2,3.8304410000000004,1550536.0,ABC,Adelaide Brighton
2015-01-12,1.065,1.07,1.03,1.055,1.055,8474836,A2M,The a2 Milk Company,2.5,2.5,2.44,2.47,2.199604,1046030.0,AAD,Ardent Leisure Group,4.41,4.41,4.355,4.4,4.012843,774307.0,ABC,Adelaide Brighton
2015-02-06,0.475,0.475,0.467,0.47,0.47,2718234,A2M,The a2 Milk Company,2.23,2.23,2.18,2.19,1.9027939999999999,1761097.0,AAD,Ardent Leisure Group,4.57,4.63,4.54,4.55,4.074367,2387178.0,ABC,Adelaide Brighton
2015-02-07,0.67,0.69,0.67,0.675,0.675,1038156,A2M,The a2 Milk Company,2.19,2.24,2.14,2.24,1.9947830000000002,2102029.0,AAD,Ardent Leisure Group,4.4,4.5,4.39,4.45,3.9848209999999997,1371924.0,ABC,Adelaide Brighton
2015-02-09,0.615,0.63,0.615,0.63,0.63,884435,A2M,The a2 Milk Company,2.39,2.39,2.33,2.37,2.1105509999999996,1276312.0,AAD,Ardent Leisure Group,4.4,4.44,4.28,4.41,3.9490019999999997,2268641.0,ABC,Adelaide Brighton
2015-02-10,0.64,0.655,0.635,0.65,0.65,2233489,A2M,The a2 Milk Company,2.71,2.77,2.7,2.73,2.4311409999999998,852424.0,AAD,Ardent Leisure Group,4.35,4.44,4.32,4.33,3.9490019999999997,2049396.0,ABC,Adelaide Brighton
2015-02-11,0.725,0.73,0.71,0.72,0.72,1701871,A2M,The a2 Milk Company,2.8,2.82,2.78,2.82,2.511289,415474.0,AAD,Ardent Leisure Group,4.22,4.23,4.15,4.19,3.8213209999999997,1610816.0,ABC,Adelaide Brighton
2015-02-12,1.055,1.065,1.045,1.055,1.055,4058352,A2M,The a2 Milk Company,2.46,2.47,2.38,2.38,2.119457,2283561.0,AAD,Ardent Leisure Group,4.35,4.42,4.31,4.39,4.003723,1631800.0,ABC,Adelaide Brighton
2015-03-06,0.47,0.51,0.47,0.505,0.505,3168563,A2M,The a2 Milk Company,2.19,2.2,2.15,2.16,1.876729,3074887.0,AAD,Ardent Leisure Group,4.51,4.58,4.48,4.51,4.038549,1170067.0,ABC,Adelaide Brighton
2015-03-07,0.665,0.675,0.65,0.66,0.66,771513,A2M,The a2 Milk Company,2.21,2.24,2.19,2.23,1.9858770000000001,1171719.0,AAD,Ardent Leisure Group,4.43,4.43,4.34,4.39,3.931093,1043178.0,ABC,Adelaide Brighton
2015-03-08,0.732,0.7325,0.71,0.73,0.73,392898,A2M,The a2 Milk Company,2.43,2.45,2.4,2.42,2.155078,894457.0,AAD,Ardent Leisure Group,4.78,4.825,4.74,4.81,4.307189,878590.0,ABC,Adelaide Brighton
